~ ~ ~ ~ ~ Using Runge-Kutta 4th Order Method ~ ~ ~ ~ ~ 

  Time   :        θ1         /         θ2        /         ω1         /         ω1       
0.450000 : -0.065873587763311 / 0.430689110582537 / -1.375726829969814 / 0.412702607977402 
0.451000 : -0.067250002686041 / 0.431102019610619 / -1.371054979028253 / 0.403574819773862 
0.452000 : -0.068621743421125 / 0.431505796285082 / -1.366372782349065 / 0.394441426077758 
0.453000 : -0.069988799617651 / 0.431900434997630 / -1.361680352817701 / 0.385302667234410 
0.454000 : -0.071351161037649 / 0.432285930380431 / -1.356977800177034 / 0.376158779136418 
0.455000 : -0.072708817552945 / 0.432662277301666 / -1.352265231073094 / 0.367009993280022 
0.456000 : -0.074061759142068 / 0.433029470861126 / -1.347542749100641 / 0.357856536821269 
0.457000 : -0.075409975887190 / 0.433387506385873 / -1.342810454848559 / 0.348698632631947 
0.458000 : -0.076753457971123 / 0.433736379425952 / -1.338068445945045 / 0.339536499355269 
0.459000 : -0.078092195674358 / 0.434076085750161 / -1.333316817102600 / 0.330370351461291 
0.460000 : -0.079426179372145 / 0.434406621341873 / -1.328555660162778 / 0.321200399302037 
0.461000 : -0.080755399531619 / 0.434727982394922 / -1.323785064140703 / 0.312026849166310 
0.462000 : -0.082079846708978 / 0.435040165309530 / -1.319005115269331 / 0.302849903334178 
0.463000 : -0.083399511546694 / 0.435343166688304 / -1.314215897043440 / 0.293669760131110 
0.464000 : -0.084714384770776 / 0.435636983332272 / -1.309417490263350 / 0.284486613981750 
0.465000 : -0.086024457188076 / 0.435921612236987 / -1.304609973078347 / 0.275300655463310 
0.466000 : -0.087329719683630 / 0.436197050588673 / -1.299793421029812 / 0.266112071358576 
0.467000 : -0.088630163218057 / 0.436463295760430 / -1.294967907094036 / 0.256921044708498 
0.468000 : -0.089925778824986 / 0.436720345308492 / -1.290133501724721 / 0.247727754864369 
0.469000 : -0.091216557608538 / 0.436968196968532 / -1.285290272895151 / 0.238532377539569 
0.470000 : -0.092502490740838 / 0.437206848652026 / -1.280438286140034 / 0.229335084860863 
0.471000 : -0.093783569459581 / 0.437436298442661 / -1.275577604596993 / 0.220136045419257 
0.472000 : -0.095059785065629 / 0.437656544592802 / -1.270708289047715 / 0.210935424320379 
0.473000 : -0.096331128920659 / 0.437867585519999 / -1.265830397958745 / 0.201733383234402 
0.474000 : -0.097597592444842 / 0.438069419803556 / -1.260943987521917 / 0.192530080445477 
0.475000 : -0.098859167114567 / 0.438262046181138 / -1.256049111694419 / 0.183325670900690 
0.476000 : -0.100115844460211 / 0.438445463545436 / -1.251145822238489 / 0.174120306258522 
0.477000 : -0.101367616063937 / 0.438619670940875 / -1.246234168760736 / 0.164914134936810 
0.478000 : -0.102614473557540 / 0.438784667560372 / -1.241314198751084 / 0.155707302160207 
0.479000 : -0.103856408620328 / 0.438940452742141 / -1.236385957621329 / 0.146499950007134 
0.480000 : -0.105093412977044 / 0.439087025966545 / -1.231449488743314 / 0.137292217456218 
0.481000 : -0.106325478395824 / 0.439224386852998 / -1.226504833486721 / 0.128084240432214 
0.482000 : -0.107552596686196 / 0.439352535156903 / -1.221552031256464 / 0.118876151851411 
0.483000 : -0.108774759697111 / 0.439471470766648 / -1.216591119529697 / 0.109668081666516 
0.484000 : -0.109991959315017 / 0.439581193700638 / -1.211622133892427 / 0.100460156911012 
0.485000 : -0.111204187461964 / 0.439681704104375 / -1.206645108075733 / 0.091252501742994 
0.486000 : -0.112411436093751 / 0.439773002247582 / -1.201660073991588 / 0.082045237488480 
0.487000 : -0.113613697198107 / 0.439855088521367 / -1.196667061768288 / 0.072838482684193 
0.488000 : -0.114810962792900 / 0.439927963435435 / -1.191666099785484 / 0.063632353119819 
0.489000 : -0.116003224924396 / 0.439991627615339 / -1.186657214708818 / 0.054426961879735 
0.490000 : -0.117190475665538 / 0.440046081799773 / -1.181640431524160 / 0.045222419384219 
0.491000 : -0.118372707114267 / 0.440091326837906 / -1.176615773571461 / 0.036018833430124 
0.492000 : -0.119549911391877 / 0.440127363686758 / -1.171583262578195 / 0.026816309231042 
0.493000 : -0.120722080641399 / 0.440154193408614 / -1.166542918692425 / 0.017614949456931 
0.494000 : -0.121889207026023 / 0.440171817168482 / -1.161494760515466 / 0.008414854273239 
0.495000 : -0.123051282727550 / 0.440180236231585 / -1.156438805134159 / -0.000783878620506 
0.496000 : -0.124208299944875 / 0.440179451960895 / -1.151375068152765 / -0.009981153952605 
0.497000 : -0.125360250892505 / 0.440169465814701 / -1.146303563724458 / -0.019176878841623 
0.498000 : -0.126507127799110 / 0.440150279344223 / -1.141224304582449 / -0.028370962759323 
0.499000 : -0.127648922906096 / 0.440121894191253 / -1.136137302070714 / -0.037563317494109 
0.500000 : -0.128785628466222 / 0.440084312085838 / -1.131042566174353 / -0.046753857114971 
0.501000 : -0.129917236742233 / 0.440037534844000 / -1.125940105549564 / -0.055942497935929 
0.502000 : -0.131043740005539 / 0.439981564365489 / -1.120829927553248 / -0.065129158480964 
0.503000 : -0.132165130534908 / 0.439916402631571 / -1.115712038272238 / -0.074313759449450 
0.504000 : -0.133281400615198 / 0.439842051702853 / -1.110586442552164 / -0.083496223682062 
0.505000 : -0.134392542536115 / 0.439758513717140 / -1.105453144025951 / -0.092676476127163 
0.506000 : -0.135498548591002 / 0.439665790887325 / -1.100312145141951 / -0.101854443807679 
0.507000 : -0.136599411075647 / 0.439563885499315 / -1.095163447191724 / -0.111030055788425 
0.508000 : -0.137695122287136 / 0.439452799909989 / -1.090007050337457 / -0.120203243143915 
0.509000 : -0.138785674522711 / 0.439332536545185 / -1.084842953639037 / -0.129373938926620 
0.510000 : -0.139871060078680 / 0.439203097897721 / -1.079671155080775 / -0.138542078135687 
0.511000 : -0.140951271249328 / 0.439064486525450 / -1.074491651597781 / -0.147707597686097 
0.512000 : -0.142026300325878 / 0.438916705049341 / -1.069304439102008 / -0.156870436378281 
0.513000 : -0.143096139595462 / 0.438759756151593 / -1.064109512507954 / -0.166030534868160 
0.514000 : -0.144160781340122 / 0.438593642573779 / -1.058906865758033 / -0.175187835637621 
0.515000 : -0.145220217835842 / 0.438418367115018 / -1.053696491847622 / -0.184342282965420 
0.516000 : -0.146274441351595 / 0.438233932630180 / -1.048478382849778 / -0.193493822898501 
0.517000 : -0.147323444148426 / 0.438040342028113 / -1.043252529939645 / -0.202642403223727 
0.518000 : -0.148367218478550 / 0.437837598269905 / -1.038018923418537 / -0.211787973440021 
0.519000 : -0.149405756584477 / 0.437625704367172 / -1.032777552737717 / -0.220930484730903 
0.520000 : -0.150439050698163 / 0.437404663380368 / -1.027528406521870 / -0.230069889937424 
0.521000 : -0.151467093040186 / 0.437174478417131 / -1.022271472592266 / -0.239206143531480 
0.522000 : -0.152489875818936 / 0.436935152630650 / -1.017006737989644 / -0.248339201589514 
0.523000 : -0.153507391229838 / 0.436686689218059 / -1.011734188996783 / -0.257469021766587 
0.524000 : -0.154519631454594 / 0.436429091418860 / -1.006453811160801 / -0.266595563270816 
0.525000 : -0.155526588660444 / 0.436162362513363 / -1.001165589315164 / -0.275718786838172 
0.526000 : -0.156528254999457 / 0.435886505821167 / -0.995869507601421 / -0.284838654707630 
0.527000 : -0.157524622607832 / 0.435601524699647 / -0.990565549490658 / -0.293955130596666 
0.528000 : -0.158515683605233 / 0.435307422542481 / -0.985253697804695 / -0.303068179677094 
0.529000 : -0.159501430094136 / 0.435004202778190 / -0.979933934737011 / -0.312177768551230 
0.530000 : -0.160481854159204 / 0.434691868868711 / -0.974606241873410 / -0.321283865228389 
0.531000 : -0.161456947866673 / 0.434370424307990 / -0.969270600212437 / -0.330386439101691 
0.532000 : -0.162426703263771 / 0.434039872620590 / -0.963926990185545 / -0.339485460925181 
0.533000 : -0.163391112378146 / 0.433700217360340 / -0.958575391677011 / -0.348580902791260 
0.534000 : -0.164350167217322 / 0.433351462108986 / -0.953215784043622 / -0.357672738108397 
0.535000 : -0.165303859768166 / 0.432993610474881 / -0.947848146134121 / -0.366760941579146 
0.536000 : -0.166252181996388 / 0.432626666091689 / -0.942472456308421 / -0.375845489178432 
0.537000 : -0.167195125846042 / 0.432250632617110 / -0.937088692456603 / -0.384926358132124 
0.538000 : -0.168132683239066 / 0.431865513731628 / -0.931696832017689 / -0.394003526895862 
0.539000 : -0.169064846074821 / 0.431471313137285 / -0.926296851998196 / -0.403076975134158 
0.540000 : -0.169991606229667 / 0.431068034556467 / -0.920888728990493 / -0.412146683699739 
0.541000 : -0.170912955556541 / 0.430655681730717 / -0.915472439190940 / -0.421212634613144 
0.542000 : -0.171828885884569 / 0.430234258419567 / -0.910047958417838 / -0.430274811042551 
0.543000 : -0.172739389018678 / 0.429803768399388 / -0.904615262129178 / -0.439333197283843 
0.544000 : -0.173644456739246 / 0.429364215462265 / -0.899174325440203 / -0.448387778740896 
0.545000 : -0.174544080801748 / 0.428915603414885 / -0.893725123140787 / -0.457438541906075 
0.546000 : -0.175438252936442 / 0.428457936077449 / -0.888267629712632 / -0.466485474340956 
0.547000 : -0.176326964848051 / 0.427991217282604 / -0.882801819346291 / -0.475528564657231 
0.548000 : -0.177210208215478 / 0.427515450874390 / -0.877327665958027 / -0.484567802497820 
0.549000 : -0.178087974691527 / 0.427030640707210 / -0.871845143206500 / -0.493603178518169 
0.550000 : -0.178960255902648 / 0.426536790644814 / -0.866354224509300 / -0.502634684367719 
0.551000 : -0.179827043448698 / 0.426033904559311 / -0.860854883059328 / -0.511662312671557 
0.552000 : -0.180688328902711 / 0.425521986330185 / -0.855347091841019 / -0.520686057012227 
0.553000 : -0.181544103810691 / 0.425001039843341 / -0.849830823646437 / -0.529705911911702 
0.554000 : -0.182394359691424 / 0.424471068990167 / -0.844306051091214 / -0.538721872813498 
0.555000 : -0.183239088036293 / 0.423932077666608 / -0.838772746630367 / -0.547733936064943 
0.556000 : -0.184078280309127 / 0.423384069772263 / -0.833230882573985 / -0.556742098899569 
0.557000 : -0.184911927946049 / 0.422827049209501 / -0.827680431102790 / -0.565746359419641 
0.558000 : -0.185740022355349 / 0.422261019882587 / -0.822121364283583 / -0.574746716578801 
0.559000 : -0.186562554917369 / 0.421685985696834 / -0.816553654084574 / -0.583743170164827 
0.560000 : -0.187379516984407 / 0.421101950557770 / -0.810977272390606 / -0.592735720782497 
0.561000 : -0.188190899880630 / 0.420508918370313 / -0.805392191018281 / -0.601724369836553 
0.562000 : -0.188996694902010 / 0.419906893037979 / -0.799798381730979 / -0.610709119514748 
0.563000 : -0.189796893316265 / 0.419295878462094 / -0.794195816253795 / -0.619689972770988 
0.564000 : -0.190591486362826 / 0.418675878541029 / -0.788584466288382 / -0.628666933308540 
0.565000 : -0.191380465252811 / 0.418046897169450 / -0.782964303527717 / -0.637640005563310 
0.566000 : -0.192163821169017 / 0.417408938237584 / -0.777335299670787 / -0.646609194687184 
0.567000 : -0.192941545265926 / 0.416762005630504 / -0.771697426437209 / -0.655574506531419 
0.568000 : -0.193713628669725 / 0.416106103227430 / -0.766050655581776 / -0.664535947630082 
0.569000 : -0.194480062478341 / 0.415441234901042 / -0.760394958908954 / -0.673493525183523 
0.570000 : -0.195240837761494 / 0.414767404516819 / -0.754730308287311 / -0.682447247041880 
0.571000 : -0.195995945560755 / 0.414084615932384 / -0.749056675663907 / -0.691397121688610 
0.572000 : -0.196745376889631 / 0.413392872996873 / -0.743374033078634 / -0.700343158224026 
0.573000 : -0.197489122733653 / 0.412692179550317 / -0.737682352678516 / -0.709285366348851 
0.574000 : -0.198227174050485 / 0.411982539423041 / -0.731981606731979 / -0.718223756347762 
0.575000 : -0.198959521770048 / 0.411263956435081 / -0.726271767643089 / -0.727158339072933 
0.576000 : -0.199686156794650 / 0.410536434395616 / -0.720552807965770 / -0.736089125927561 
0.577000 : -0.200407069999142 / 0.409799977102413 / -0.714824700418005 / -0.745016128849359 
0.578000 : -0.201122252231078 / 0.409054588341299 / -0.709087417896019 / -0.753939360294031 
0.579000 : -0.201831694310894 / 0.408300271885636 / -0.703340933488464 / -0.762858833218697 
0.580000 : -0.202535387032102 / 0.407537031495826 / -0.697585220490595 / -0.771774561065273 
0.581000 : -0.203233321161496 / 0.406764870918819 / -0.691820252418461 / -0.780686557743800 
0.582000 : -0.203925487439373 / 0.405983793887650 / -0.686046003023089 / -0.789594837615703 
0.583000 : -0.204611876579767 / 0.405193804120983 / -0.680262446304707 / -0.798499415476980 
0.584000 : -0.205292479270700 / 0.404394905322682 / -0.674469556526966 / -0.807400306541316 
0.585000 : -0.205967286174445 / 0.403587101181387 / -0.668667308231205 / -0.816297526423105 
0.586000 : -0.206636287927803 / 0.402770395370117 / -0.662855676250739 / -0.825191091120376 
0.587000 : -0.207299475142395 / 0.401944791545885 / -0.657034635725194 / -0.834081016997617 
0.588000 : -0.207956838404971 / 0.401110293349330 / -0.651204162114878 / -0.842967320768487 
0.589000 : -0.208608368277728 / 0.400266904404372 / -0.645364231215209 / -0.851850019478406 
0.590000 : -0.209254055298647 / 0.399414628317873 / -0.639514819171196 / -0.860729130487014 
0.591000 : -0.209893889981840 / 0.398553468679330 / -0.633655902491981 / -0.869604671450503 
0.592000 : -0.210527862817919 / 0.397683429060574 / -0.627787458065452 / -0.878476660303786 
0.593000 : -0.211155964274371 / 0.396804513015490 / -0.621909463172929 / -0.887345115242531 
0.594000 : -0.211778184795953 / 0.395916724079762 / -0.616021895503926 / -0.896210054705018 
0.595000 : -0.212394514805101 / 0.395020065770624 / -0.610124733171008 / -0.905071497353828 
0.596000 : -0.213004944702351 / 0.394114541586639 / -0.604217954724729 / -0.913929462057362 
0.597000 : -0.213609464866781 / 0.393200155007491 / -0.598301539168678 / -0.922783967871152 
0.598000 : -0.214208065656461 / 0.392276909493800 / -0.592375465974625 / -0.931635034018996 
0.599000 : -0.214800737408923 / 0.391344808486953 / -0.586439715097775 / -0.940482679873869 
0.600000 : -0.215387470441643 / 0.390403855408952 / -0.580494266992148 / -0.949326924938629 
0.601000 : -0.215968255052541 / 0.389454053662291 / -0.574539102626075 / -0.958167788826496 
0.602000 : -0.216543081520499 / 0.388495406629835 / -0.568574203497824 / -0.967005291241295 
0.603000 : -0.217111940105885 / 0.387527917674740 / -0.562599551651367 / -0.975839451957462 
0.604000 : -0.217674821051102 / 0.386551590140376 / -0.556615129692288 / -0.984670290799790 
0.605000 : -0.218231714581152 / 0.385566427350278 / -0.550620920803838 / -0.993497827622925 
0.606000 : -0.218782610904209 / 0.384572432608117 / -0.544616908763149 / -1.002322082290579 
0.607000 : -0.219327500212219 / 0.383569609197690 / -0.538603077957610 / -1.011143074654476 
0.608000 : -0.219866372681505 / 0.382557960382932 / -0.532579413401415 / -1.019960824532997 
0.609000 : -0.220399218473398 / 0.381537489407951 / -0.526545900752281 / -1.028775351689534 
0.610000 : -0.220926027734881 / 0.380508199497080 / -0.520502526328355 / -1.037586675810532 
0.611000 : -0.221446790599244 / 0.379470093854958 / -0.514449277125311 / -1.046394816483212 
0.612000 : -0.221961497186771 / 0.378423175666623 / -0.508386140833643 / -1.055199793172968 
0.613000 : -0.222470137605427 / 0.377367448097643 / -0.502313105856158 / -1.064001625200425 
0.614000 : -0.222972701951576 / 0.376302914294252 / -0.496230161325689 / -1.072800331718145 
0.615000 : -0.223469180310708 / 0.375229577383524 / -0.490137297123020 / -1.081595931686982 
0.616000 : -0.223959562758190 / 0.374147440473560 / -0.484034503895037 / -1.090388443852060 
0.617000 : -0.224443839360030 / 0.373056506653709 / -0.477921773073117 / -1.099177886718380 
0.618000 : -0.224922000173663 / 0.371956778994805 / -0.471799096891752 / -1.107964278526029 
0.619000 : -0.225394035248756 / 0.370848260549433 / -0.465666468407425 / -1.116747637225001 
0.620000 : -0.225859934628028 / 0.369730954352218 / -0.459523881517735 / -1.125527980449594 
0.621000 : -0.226319688348093 / 0.368604863420143 / -0.453371330980793 / -1.134305325492396 
0.622000 : -0.226773286440320 / 0.367469990752890 / -0.447208812434885 / -1.143079689277836 
0.623000 : -0.227220718931714 / 0.366326339333207 / -0.441036322418410 / -1.151851088335292 
0.624000 : -0.227661975845818 / 0.365173912127304 / -0.434853858390109 / -1.160619538771746 
0.625000 : -0.228097047203632 / 0.364012712085278 / -0.428661418749582 / -1.169385056243975 
0.626000 : -0.228525923024552 / 0.362842742141560 / -0.422459002858116 / -1.178147655930264 
0.627000 : -0.228948593327339 / 0.361664005215394 / -0.416246611059809 / -1.186907352501637 
0.628000 : -0.229365048131096 / 0.360476504211349 / -0.410024244703026 / -1.195664160092583 
0.629000 : -0.229775277456276 / 0.359280242019849 / -0.403791906162168 / -1.204418092271282 
0.630000 : -0.230179271325707 / 0.358075221517745 / -0.397549598859782 / -1.213169162009297 
0.631000 : -0.230577019765641 / 0.356861445568910 / -0.391297327289011 / -1.221917381650750 
0.632000 : -0.230968512806826 / 0.355638917024864 / -0.385035097036395 / -1.230662762880935 
0.633000 : -0.231353740485599 / 0.354407638725440 / -0.378762914805024 / -1.239405316694394 
0.634000 : -0.231732692845005 / 0.353167613499468 / -0.372480788438068 / -1.248145053362412 
0.635000 : -0.232105359935933 / 0.351918844165503 / -0.366188726942673 / -1.256881982399937 
0.636000 : -0.232471731818285 / 0.350661333532579 / -0.359886740514247 / -1.265616112531910 
0.637000 : -0.232831798562166 / 0.349395084401002 / -0.353574840561129 / -1.274347451658988 
0.638000 : -0.233185550249091 / 0.348120099563173 / -0.347253039729671 / -1.283076006822657 
0.639000 : -0.233532976973231 / 0.346836381804448 / -0.340921351929716 / -1.291801784169710 
